time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type
2015-10-18T03:12:51.750Z,35.8824,-97.3625,6.31,3.2,mb_lg,,33,0.113,0.49,us,us10003pgf,2015-10-18T12:43:24.098Z,"5km E of Guthrie, Oklahoma",earthquake
2015-10-18T03:11:05.000Z,51.5268,-172.4567,43.6,2.5,ml,,,,1.09,ak,ak11742124,2015-10-18T19:56:11.097Z,"134km SW of Amukta Island, Alaska",earthquake
2015-10-18T02:57:12.300Z,18.9775,-68.262,99,3.1,Md,9,334.8,1.37082912,0.43,pr,pr15291004,2015-10-18T10:59:41.795Z,"46km NNE of Punta Cana, Dominican Republic",earthquake
2015-10-18T02:49:49.520Z,-6.4219,130.0764,112.07,4,mb,,152,4.098,1.36,us,us10003pge,2015-10-18T10:52:34.029Z,"217km NW of Saumlaki, Indonesia",earthquake
2015-10-18T01:47:30.780Z,37.0839,-104.8951,4.3,3,ml,,62,0.391,0.45,us,us10003pgd,2015-10-18T09:50:10.321Z,"36km WSW of Trinidad, Colorado",earthquake
2015-10-18T01:35:58.200Z,19.2651,-64.8367,55,2.5,Md,4,291.6,0.71416065,0.25,pr,pr15291003,2015-10-18T09:38:36.629Z,"96km NNW of Road Town, British Virgin Islands",earthquake
2015-10-18T01:26:37.300Z,18.0289,-68.4065,95,3.2,Md,6,334.8,0.94862094,0.2,pr,pr15291002,2015-10-18T09:29:19.817Z,"44km SSE of Boca de Yuma, Dominican Republic",earthquake
2015-10-18T01:07:36.000Z,59.927,-153.0998,110.4,2.7,ml,,,,0.63,ak,ak11742083,2015-10-18T09:10:05.710Z,"65km SSW of Redoubt Volcano, Alaska",earthquake
2015-10-18T00:49:18.862Z,38.2371,-118.3054,7.3,2.5,ml,30,44.97,0.158,0.2581,nn,nn00515085,2015-10-18T01:53:45.920Z,"42km SE of Hawthorne, Nevada",earthquake
2015-10-18T00:47:39.720Z,41.4862,141.9599,54.02,4.8,mb,,119,1.04,0.96,us,us10003pg2,2015-10-19T11:39:49.820Z,"65km ENE of Mutsu, Japan",earthquake
2015-10-18T00:32:52.150Z,52.3741,-169.5314,43.2,4.3,mb,,177,0.727,0.73,us,us10003pfz,2015-10-18T08:35:19.996Z,"77km SW of Nikolski, Alaska",earthquake
2015-10-18T00:31:51.800Z,19.3913,-65.3485,94,3.3,Md,5,248.4,1.07887666,0.1,pr,pr15291001,2015-10-18T08:34:34.011Z,"118km NNE of Vieques, Puerto Rico",earthquake
2015-10-18T00:27:37.200Z,19.4617,-65.3247,85,3.4,Md,8,255.6,1.14894525,0.28,pr,pr15291000,2015-10-18T08:30:20.261Z,"126km NNE of Vieques, Puerto Rico",earthquake
2015-10-17T23:08:59.810Z,-16.9067,-177.4356,34.4,4.7,mb,,125,4.389,0.93,us,us10003pfg,2015-10-18T07:11:35.593Z,"298km SSE of Sigave, Wallis and Futuna",earthquake
2015-10-17T22:47:09.440Z,-18.2883,168.7872,100.38,4.6,mb,,107,3.206,0.7,us,us10003pfb,2015-10-18T06:49:38.980Z,"78km SE of Port-Vila, Vanuatu",earthquake
2015-10-17T22:19:47.100Z,18.9197,-64.3807,33,2.5,Md,5,288,0.19493442,0.25,pr,pr15290011,2015-10-18T06:22:30.144Z,"60km NNE of Road Town, British Virgin Islands",earthquake
2015-10-17T21:45:14.450Z,37.7818333,-121.9653333,6.11,2.63,md,39,151,0.008403,0.13,nc,nc72539315,2015-10-20T18:32:21.684Z,"1km E of San Ramon, California",earthquake
2015-10-17T21:45:05.630Z,37.7805,-121.9625,6.32,2.54,md,63,53,0.01082,0.12,nc,nc72539310,2015-10-20T18:32:45.748Z,"1km E of San Ramon, California",earthquake
2015-10-17T21:42:08.910Z,-30.1245,-178.1075,111.74,4.7,mb,,121,0.89,0.95,us,us10003pex,2015-10-18T05:44:45.662Z,"97km SSW of Raoul Island, New Zealand",earthquake
